序号,题目（含完整选项）,答案
1,下列关于细胞结构和功能的叙述，正确的是（  ） A. 有内质网的细胞不一定是真核细胞 B. 有中心体的细胞一定是动物细胞 C. 有高尔基体的细胞不一定有分泌功能 D. 有核糖体的细胞一定能合成分泌蛋白,C
2,下列关于酶的叙述，错误的是（  ） A. 酶的化学本质都是蛋白质 B. 酶是活细胞产生的具有催化作用的有机物 C. 酶的活性受温度和pH等因素的影响 D. 同一种酶可存在于分化程度不同的活细胞中,A
3,下列关于ATP的叙述，正确的是（  ） A. ATP分子由腺嘌呤、脱氧核糖和磷酸组成 B. 细胞中ATP的含量很多，能满足细胞对能量的需求 C. ATP是细胞内的直接能源物质 D. ATP与ADP的相互转化是可逆反应,C
4,下列关于细胞呼吸的叙述，错误的是（  ） A. 有氧呼吸产生的[H]在线粒体内膜上与氧结合生成水 B. 无氧呼吸只在第一阶段释放少量能量 C. 细胞呼吸的实质是分解有机物，释放能量 D. 乳酸菌无氧呼吸的产物是酒精和二氧化碳,D
5,下列关于光合作用的叙述，正确的是（  ） A. 光合作用的光反应阶段产生的[H]用于暗反应中二氧化碳的固定 B. 光合作用的暗反应阶段不需要光，所以在无光条件下也能进行 C. 叶绿体中的色素主要吸收红光和蓝紫光 D. 光合作用产生的氧气来自于二氧化碳,C
6,下列关于细胞增殖的叙述，正确的是（  ） A. 细胞增殖包括物质准备和细胞分裂整个连续的过程 B. 原核细胞的增殖方式是有丝分裂 C. 有丝分裂过程中染色体数目加倍发生在间期 D. 动物细胞有丝分裂末期形成细胞板,A
7,下列关于细胞分化的叙述，错误的是（  ） A. 细胞分化是一种持久性的变化 B. 细胞分化使细胞的种类和数量增多 C. 细胞分化的实质是基因的选择性表达 D. 高度分化的植物细胞仍然具有全能性,B
8,下列关于细胞衰老和凋亡的叙述，正确的是（  ） A. 细胞衰老和凋亡对生物体都是不利的 B. 细胞衰老的特征之一是细胞核体积变小 C. 细胞凋亡是由基因决定的细胞自动结束生命的过程 D. 衰老细胞的细胞膜通透性改变，物质运输功能增强,C
9,下列关于细胞癌变的叙述，错误的是（  ） A. 癌细胞具有无限增殖的能力 B. 细胞癌变的根本原因是原癌基因和抑癌基因发生突变 C. 癌细胞表面的糖蛋白减少，细胞间黏着性降低 D. 癌症的发生只与环境因素有关,D
10,下列关于遗传物质的叙述，正确的是（  ） A. 肺炎双球菌的转化实验证明了DNA是主要的遗传物质 B. 噬菌体侵染细菌的实验证明了DNA是遗传物质 C. 真核生物的遗传物质是DNA，原核生物的遗传物质是RNA D. 病毒的遗传物质是DNA或RNA，所以病毒的核酸都有两种,B
